song,songLabel,release_date,performerLabel,nominatedLabel,awardLabel
http://www.wikidata.org/entity/Q62618893,Bad Guy,2019-03-29T00:00:00Z,Justin Bieber,,Grammy Award for Song of the Year
http://www.wikidata.org/entity/Q62618893,Bad Guy,2019-03-29T00:00:00Z,Billie Eilish,,Grammy Award for Song of the Year
http://www.wikidata.org/entity/Q106341597,Old Town Road (remix),2019-04-05T00:00:00Z,Billy Ray Cyrus,,Grammy Award for Best Pop Duo/Group Performance
http://www.wikidata.org/entity/Q106341597,Old Town Road (remix),2019-04-05T00:00:00Z,Lil Nas X,,Grammy Award for Best Pop Duo/Group Performance
http://www.wikidata.org/entity/Q105028849,Lyubimka,2019-05-03T00:00:00Z,Niletto,,Premiya RU.TV for Best Debut
http://www.wikidata.org/entity/Q64736388,La hit dell'estate,2019-06-17T00:00:00Z,Shade,,gold record
http://www.wikidata.org/entity/Q96001531,Sayonara detka,2019-06-20T00:00:00Z,Eldzhey,,Russian National Music Award for Hip Hop Artist of the Year
http://www.wikidata.org/entity/Q109620569,Umlilo,2019-08-23T00:00:00Z,DJ Zinhle,South African Music Award for Best Music Video of the Year,
http://www.wikidata.org/entity/Q109620569,Umlilo,2019-08-23T00:00:00Z,Mvzzle,South African Music Award for Best Music Video of the Year,
http://www.wikidata.org/entity/Q109620569,Umlilo,2019-08-23T00:00:00Z,Rethabile Khumalo,South African Music Award for Best Music Video of the Year,
